,sentence
5517,윤재필 변호사는 돈스파이크가 방송에 나와 자폐와 다중 인격을 주장한 것에 대해 작량 감경 사유가 될 수 있다고 분석했다.
5518,그는 자폐나 정신질환을 법정 감경 사유로 보긴 어렵다면서 심신 미약이라는 전문가의 판단이 있어야 법적 감경 사유가 된다고 전했다.
5519,다만 이성적인 판단을 할 수 없을 만큼 정신적인 장애가 있다면 형량을 정하는 데 장애를 고려할 필요가 있다는 작량감경 사유는 될 수 있다고 설명했다.
5520,또 돈스파이크가 신혼이라는 점도 법적 감경 사유는 아니나 재범 위험성을 판단하는 데 있어 영향을 미칠 수 있다고 덧붙였다.
5521,돈스파이크는 여성 접객원 중 한 명이 별건의 경찰 조사에서 돈스파이크와 마약을 한 적이 있다고 진술해 꼬리가 잡혔다.
5522,공개된 영상에서 풍자는 산다라박에게 이상형에 대해 질문했고 산다라박은 귀엽고 터프한 연하남이라고 답했다.
5523,이에 풍자가 연예인 중에 혹시 있느냐고 물었고 산다라박이 매우 고민하는 모습을 보이자 박소현은 그냥 얘기해봐.
5524,이에 산다라박은 (이상형과) 비슷한 분은 원빈 씨 정해인 씨라고 말했고 박소현은 로운이라는 친구도 있는데 그런 스타일이 외적으로 보는 (이상형)이라고 설명을 보충했다.
5525,그러면서 산다라박은 (세 분 모두) 만인의 이상형이니까라고 했는데 풍자는 그런 사람이 있었으면 제가 먼저라고 농담했다.
5526,이어 박소현의 이상형을 묻자 산다라박은 신동이라며 말을 얼버무렸는데 풍자가 신동엽 오빠요?라고 되묻자 신동이라고 정정했다.
5527,박소현은 먹조합 최고로 잘 알고 재미있고 춤 잘 추고라며 신동만큼 완벽한 남자 없는 것 같다고 극찬했다.
5528,이를 들은 풍자는 로운과 신동을 밥맛없는 언니들에 출연시키는 게 어떻겠냐는 제안을 했는데 박소현은 부끄러워하며 같이 부르지 마요라고 말했다.
5529,일본 잡지 여성세븐은 현리와 마치다 케이타가 동료 배우들과 함께 저녁 식사를 마치고 함께 동거하는 집에 갔다면서 두 사람이 열애 중이라고 보도했다.
5530,여자적 생활 작품 이후 연인으로 발전했으며 이후 도쿄의 한 아파트에서 함께 살고 있는 것으로 전해졌다.
5531,여성세븐에 따르면 마치다 케이타와 현리 양측 소속사는 좋은 교제를 하고 있는 것으로 알고 있다라며 열애 사실을 인정했다.
5532,한국어 일본어 영어에 능통한 현리는 애플TV+(플러스)가 제작한 파친코 등 다국적 프로젝트에 참여했다.
5533,마치다 케이타는 드라마 서른살까지 동정이면 마법사가 될 수 있대의 주인공으로 작품이 대히트를 기록하며 일본은 물론 아시아권 국가에서도 많은 주목을 받았다.
5534,마치다 케이타는 과거 야스쿠니 신사 참배를 한 사실 진주만 공습을 미화하는 내용의 연극에 출연한 점 등으로 여러 차례 우익 논란이 불거진 배우이기도 하다.
5535,개그우먼 출신 배우 정이랑이 주연한 영화 ‘아네모네’(감독 정하용)가 해외 시상식에서 두각을 드러내고 있다.
5536,영화는 전직 격투기 선수인 정이랑이 복권 당첨의 꿈을 꾼 후 실제로 복권에 당첨되면서 벌어지는 이야기다.
5537,뉴스투데이카멀라 해리스/미국 부통령여러분의 이야기를 듣고 여러분의 생각을 나누길 기대합니다.
5538,어제 한국을 찾은 카멀라 해리스 미국 부통령이 각 분야의 한국 여성 리더들과 간담회를 가졌습니다.
5539,해리스 부통령은 민주주의를 강화하려면 성 평등에 관심을 기울여야 한다며 독려했습니다.
5540,공개된 사진 속 켄달 제너는 크롭톱과 짧은 레깅스를 입고 모자를 쓴 모습이다.
5541,한편 켄달 제너는 킴 카다시안의 이부 동생으로 모델로 활발하게 활동을 이어가고 있다.
5542,돈스파이크가 필로폰 투약 혐의로 구속되면서 당국의 수사가 전방위로 확산 될 수 있다는 공포다.
5543,작곡가 돈스파이크가 서울 강남의 한 호텔에서 필로폰 투약 혐의로 체포됐다.
5544,그는 여러 호텔을 다니며 보도방 주인과 접객원 등과 함께 마약을 투약한 혐의를 받는다.
5545,수사 당국은 그가 마약 투약 뿐 아니라 판매 등을 했을 가능성을 열어 놓고 수사를 전개하고 있는 것으로 알려졌다.
5546,돈스파이크의 변호인은 마약을 많이 안 해본 사람들은 희석·투약하는 게 서툴러서 손실분이 많이 발생하기 때문에 (마약을) 여유 있게 갖고 다니는 경우가 있다고 설명했다.
5547,연예계에서 폭넓게 활동해온데다 마약 유통책이라는 의심을 받고 있는만큼 돈스파이크의 검은 손을 잡고 있는 연예인도 있을 거라는 소문은 이미 연예계에 무성하다.
5548,한 연예기획사 대표는 광역수사대에서 첩보를 입수하고 연예인 마약 사범들 조사에 나섰다는 소문이 파다하다며 거론되는 연예인 가운데는 스타급 연예인들이 상당수라고 귀띔했다.
5549,또 다른 연예 관계자는 돈스파이크가 연예인 마약 게이트의 신호탄 아니겠냐며 다들 이번 사건의 추이를 면밀히 지켜보고 있다고 말했다.
5550,평소와 다른 정신상태에서 새로운 영감을 얻는다는 것이 연예인들의 마약 논리.
5551,이름과 얼굴이 알려진 연예인들은 종류와 가격에 상관 없이 알음알음 구해 투약했다.
5552,신동엽 싸이 이승철 / 사진텐아시아DB신중현 전인권 부활의 김태원 김수희 주병진 조용철 신해철과 현진영 신성우 배우 김용건과 김부선 등 스타들이 대마초 흡연으로 줄줄이 법적 처벌을 받았다.
5553,허준 등 여러 드라마에서 단아한 이미지로 최고의 인기를 누리던 배우 황수정은 필로폰 투약 혐의로 구속되면서 논란의 중심에 섰다.
5554,유명 래퍼 이센스부터 유명하지 않은 래퍼들이 대마초 흡연으로 무더기 적발됐다.
5555,박유천은 기소 전 기자회견을 열어 자신의 마약 혐의가 사실이라면 은퇴하겠다며 눈물로 호소했으나 다리털에서 양성 반응이 나와 덜미를 잡혔다.
5556,지드래곤 탑 박봄 비아이 / 사진텐아시아DB우유 주사리고 불리는 프로포폴은 향정신성의약품으로 지정된 뒤 꾸준히 논란이 되고 있다.
5557,배우 하정우 박시연 이승연 장미인애 등과 방송인 에이미 가수 휘성 가인 등이 프로포폴 불법 투약으로 처벌을 받았다.
5558,박시연(왼쪽상단부터 시계방향) 장미인애 하정우 가인 휘성 에이미 / 사진텐아시아DB대마초로 시작된 마약은 점점 더 위험하고 자극적인 약물로 변형돼 사회에 들어왔다.
5559,그럼에도 마약에 적발된 연예인들은 하나같이 우울증 혹은 불안증세 혹은 치료 목적 순간의 유혹에 넘어갔다는 변명을 내놓는다.
5560,남자분이 숙소 앞을 찾아와도 안 된다고 거절했다라며 “집 앞에 파파라치 있을 것 같다고 했더니 아무도 너한테 신경 안 쓴다고 하더라.
5561,정형돈은 그동안 한 번도 사진이 찍히거나 열애설이 나지 않았던 것에 놀랐다.
5562,산다라박은 “대면 연애를 시작했을 때 한겨울에 마스크 쓰고 롱패딩에 스카프 두르면 잘 못 알아본다라며 “핫한 경리단 길을 손을 잡고 갔다.
5563,상대방도 알려진 사람이기 때문에라고 말했고 출연자들은 하이에나처럼 몰려 들었다.
5564,산다라박은 “갑자기 군고구마 냄새가 너무 맛있게 나서 둘 다 홀린 듯 뛰어 갔다.
5565,사진에서 조예영과 한정민은 한 야외 카페에서 서로를 바라보는 포즈를 취하고 사진을 찍고 있다.
5566,이후 두 사람은 실제 연인으로 발전했고 내년 재혼을 계획 중이라고 밝히기도 했다.
5567,제공| 예스아이엠엔터테인먼트스포티비뉴스장진리 기자 본격 방송 활동을 시작하는 가수 임창정의 아내 서하얀이 각오를 전했다.
5568,뷰티풀은 최강 트렌드 퍼스널 쇼퍼들이 모든 잇템을 대신 찾아주는 프로그램이다.
5569,착용하는 아이템마다 완판 행진을 기록하는 등 대세 인기를 얻고 있는 서하얀은 뷰티풀을 통해 임창정 아내 대신 방송인으로 거듭난다.
5570,이다해 장도연 정윤기 등과 함께 출연하는 서하얀은 MC들 중 유일하게 아이가 있는 엄마로서 워킹맘으로서 시청자분들께 도움이 될만한 뷰티 정보나 노하우가 있을 것 같다.
5571,또 여자로서 엄마로서 주부로서 그리고 아내로서 다양한 자아가 공존하는 여자들을 응원하는 마음으로 MC를 하게 됐다라고 밝혔다.
5572,이어 뷰티풀을 통해 방송인으로서 더욱 다양한 모습으로 시청자들과 조금 더 가까워지려고 한다라고 밝혔다.
5573,그런 부분들이 부담되기도 하지만 책임감도 더 커져서 덕분에 여러모로 공부도 많이 하고 있다라고 했다.
5574,한편 이윤지는 종합편성채널 채널A 오은영의 금쪽 상담소 등 다양한 방송 프로그램에서 활약하고 있다.
5575,인기 개그우먼 장도연이 MC를 맡았고 슈퍼모델 출신인 신현지와 기은세 등이 패션 워너비 출동해 재미를 더 할 예정이다.
5576,또한 온라인몰 EQL과 연계해 경연 제품 판매 등 브랜드 인지도 및 유통 판로 확대도 시도한다.
5577,실제 판매로 이어지는 미션을 통해 국내 디자이너 브랜드의 실질적인 매출 향상을 이끄는 것이 특징이다.
5578,만능 방송인 장도연과 글로벌 톱모델 신현지가 진행을 맡았고 W매거진 패션 에디터 출신 비주얼 디렉터 김석원 디자이너 쇼룸 퓨처소사이어티의 대표 조준우 패션 워너비 배우로 떠오른 기은세 등이 참여해 방송의 재미와 패션 전문성을 모두 잡을 것으로 기대를 모으고 있다.
5579,/사진류이서 인스타그램그룹 신화 멤버 전진과 그의 아내 류이서가 달콤한 신혼을 즐겼다.
5580,사진에는 전진 류이서 부부가 반려견들과 함께 여행을 떠난 모습이 담겨 있다.
5581,/사진류이서 인스타그램특히 두 사람은 서로를 바라보며 웃거나 장난기 넘치는 모습을 보여 보는 이들의 미소를 자극한다.
5582,박수홍/사진헤럴드POP DB헤럴드POP김나율기자박수홍이 부친의 폭행으로 병원으로 후송된 가운데 가족들의 소름 돋는 반응이 공개됐다.
5583,박수홍의 부친이 대질심사 과정에서 박수홍을 폭행해 포송되는 일이 벌어졌다.
5584,웬만하면 박수홍 가족의 갈등을 다루지 않으려고 했는데 언론에 알려지지 않은 비하인드를 확인했다라고 운을 뗐다.
5585,그전에도 그런 말씀을 줄곧 해와서 신변의 위협을 느껴 방검복을 착용하고 갔다라고 했다.
5586,그러면서 현장에 있던 변호인에 따르면 부친은 박수홍을 보자마자 달려들어 밀치고 정강이를 발로 찼다고 한다.
5587,형과 형수는 전혀 제재하지 않고 실려갈 때까지 지켜봤다고 한다라고 이야기했다.
5588,주위에서는 부친이더라도 고소를 해야 하지 않냐고 적극적으로 얘기하고 있다고 한다.
5589,일단 박수홍의 정신적 충격을 받은 상황이라 조심스러워 하는 모습이 보인다.
5590,그러나 박수홍이 후송된 이후 부친은 법원 근처 식당에서 함께 식사했다고 한다.
5591,물론 식사를 할 순 있으나 아들이 엄청난 충격에 쓰러진 상황에서 식사를 하신다는 거 자체가 슬프다.
5592,이서진 본인 역시 미국 명문대로 꼽히는 뉴욕대학교에서 경영학을 전공 한 자산운용사 상무를 역임한 인재다.
5593,한편 이서진은 과거 한 방송에서 집안의 재력을 묻는 말에 할아버지 집에 도우미분이 많이 계셨던 것은 맞다.
5594,앞서 전다빈이 소속사 제안이 온다면?이라는 질문에 많관부(많은 관심 부탁)이라고 답한적 있는 사실까지 덧붙여져 눈길을 끈다.
5595,스포츠서울 | 김민지기자그룹 뉴이스트 출신 멤버들이 본격적으로 솔로 활동에 나선다.
5596,그룹으로서 색을 보여준 이들이 과연 각자 어떤 행보를 이어갈지 기대감을 높인다.
5597,단독 공연을 통해 홀로 무대를 채우며 솔로 아티스트로서 가능성을 보여줄 전망이다.
5598,보컬은 물론 프로듀싱 능력까지 갖춘 그의 컴백 소식에 팬들은 뜨거운 반응을 보이고 있다.
5599,황민현은 첫 단독 팬미팅을 비롯해 최근 종영한 tvN 드라마 ‘환혼’으로 연기 활동을 이어가고 있다.
5600,현재 드라마 ‘소용없어 거짓말’의 출연 제의를 받고 긍정적으로 검토 중이다.
5601,이후 아리랑TV ‘애프터스쿨클럽’의 새 MC로 합류하며 개인 활동을 이어간다.
5602,한 그룹으로 활동하면서 경험치를 쌓아온 이들이 각자 걸어갈 길에 관심이 쏟아지고 있다.
5603,음악 연기 예능 등 다방면에서 활발한 활동을 예고한 이들이 각각 어떤 성과를 이룰지 또 서로에게 어떤 좋은 영향을 미칠지 기대된다.
5604,또 다른 관계자는 “과거엔 그룹이 해체하면 연예계 활동을 못하는 것처럼 여겨질 때도 있었는데 이젠 소녀시대 갓세븐 등처럼 한 소속사에 모두가 같이 속해지 않지 않더라도 스케줄을 조율하며 개별활동과 팀 활동을 이어가는 경우도 많아졌다.
5605,OSEN최나영 기자 하루에도 몇번씩 SNS에 자신의 일상을 담은 사진이나 글을 올리며 근황을 공유하고 있는 스타들.
5606,때로는 사진이나 글 하나가 뜨거운 화제를 모으며 큰 파장을 일으키기도 한다.
5607,주간SNS핫스타에서는 지난 한 주간 주목을 받았던 스타들의 SNS를 되짚어본다.
5608,- 전혜빈 리한나 뺨치는 만삭사진전혜빈이 출산을 앞두고 바닷가에서 찍은 만삭사진을 공개했다.
5609,#보그뺨치게 #나온것같아 #대만족 #하핫 #죽도해변 #양양이라는 글과 함께 여러 장의 사진을 게재했다.
5610,공개된 사진 속에는 전혜빈이 죽도 해변에서 만삭화보를 찍은 모습이 담겨 있다.
5611,전혜빈은 D라인이 고스란히 드러나는 비키니에 롱드레스를 걸쳐 우아함을 살렸다.
5612,특히 출산을 코앞에 둔 만삭이지만 군살이 전혀 없는 늘씬한 보디라인과 비주얼을 공개해 감탄을 자아냈다.
5613,여기에 남편은 무릎을 꿇고 아내의 배를 어루만지는 등 애정을 표하기도 했다.
5614,- 넉살 미모의 아내 공개래퍼 넉살이 결혼식 사진을 공개하며 미모의 아내를 공개했다.
5615,사진에는 넉살의 결혼식이 담겨있는데 결혼을 앞둔 넉살이 환하게 미소 지으며 설레는 표정을 하고 있다.
5616,특히 넉살은 아내와 찍은 사진도 공개 연예인 못지 않은 미모의 아내가 눈길을 끈다.
5617,이날 결혼식 사회는 놀라운 토요일에서 인연을 맺은 방송인 신동엽이 맡았으며 축가는 온앤오프를 통해 친분을 쌓은 가수 성시경이 두 사람을 가창해 부부의 앞날을 축복했다.
5618,- 손연재 결혼하더니 확 달라져 전 리듬체조 선수인 CEO 손연재가 시크해진 이미지로 근황으로 보는 이들을 놀라게 했다.
5619,손연재는 이전의 귀여운 이미지와 달리 결혼 후 한 층 더 성숙해진 모습이다.
5620,- 서정희 유방암 투병 중 야윈 근황안타까워방송인 겸 작가 서정희가 유방암 투병 중 근황을 전했다.
5621,화보 속 서정희는 얇은 슬립웨어 한 장만을 걸치고 있는 모습으로 눈길을 끌었다.
5622,지금까지의 인생이 경험을 쌓는 시간이었다면 앞으로의 인생은 경험을 나누는 시간으로 채우고 싶어요라는 인터뷰 내용이 적혀 있어 눈길을 끈다.
5623,삶을 더 충실하게 살 수 있는 일종의 기회가 주어진 것이라고 생각해요라는 서정희의 진솔한 글을 담겨져 있다.
5624,- 구혜선 체중 증가에 힘들어서 살 쪘어요배우 구혜선이 화제를 모은 체중 증가에 대해 입을 열었다.
5625,공개된 사진 속 구혜선은 모자를 쓴 채 특유의 신비로운 이미지를 연출했다.
5626,원버튼으로 잠근 재킷은 몸을 심하게 조이는 모습이라 팬들을 놀라게 한 것.
5627,강예원 인스타그램헤럴드POP김지혜 인턴기자개그맨 이수근의 아내 박지연이 연예인들 사이에서도 단연 돋보이는 미모로 화제다.
5628,공개된 게시물 속에는 강예원 박지연 그리고 개그우먼 김민경이 함께 골프를 치기 위해 라운딩에 방문한 모습이 담겨있다.
5629,그중에서도 비연예인인 박지연이 눈에 띄는데 그는 연예인 못지않은 소두와 극세사 각선미로 남다른 아우라를 풍겨 보는 이들의 시선을 집중시킨다.
5630,굵직한 작품 활동을 이어온 남자 배우는 음주운전으로 입건돼 차기작에 불똥이 튀었고 가수 겸 작곡가는 마약 투약 혐의로 경찰에 구속됐습니다.
5631,그런가 하면 명실상부 로코퀸으로 자리매김한 여배우는 열애설로 곤혹을 치렀고 보이 그룹 멤버는 안면 골절 부상을 입고 활동을 잠정 중단했습니다.
5632,/더팩트 DB▼ 곽도원 음주운전 적발 변명의 여지 없이 책임 통감배우 곽도원이 음주운전 혐의로 적발됐습니다.
5633,이유를 불문하고 곽도원과 당사는 변명의 여지 없이 책임을 통감하고 있다고 고개 숙였습니다.
5634,앞서 이날 제주 서부경찰서는 곽도원을 도로교통법 위반(음주운전) 혐의로 입건했습니다.
5635,이에 관계자는 함께 일하는 많은 관계자분께 최대한 피해가 가지 않도록 신속히 방법을 마련하도록 하겠다고 거듭 사과의 뜻을 전했습니다.
5636,현재 곽도원은 주연을 맡은 영화 소방관 촬영을 끝내고 개봉을 앞두고 있었으며 티빙 오리지널 시리즈 빌런즈 출연을 확정 지은 상태인데요.
5637,/ 이새롬 기자▼ 마약 투약 인정 돈 스파이크 조사 성실히 임할 것가수 겸 작곡가 돈 스파이크가 마약류관리법 위반 등 혐의로 구속됐습니다.
5638,이후 돈 스파이크는 서울북부지법에서 진행된 구속 전 피의자 심문(영장실질심사)을 마치고 취재진에게 마약은 최근에 시작하게 됐다.
5639,예능 서민갑부 오은영의 금쪽상담소 등은 돈 스파이크 출연분을 다시 보기 VOD에서 삭제했고 그가 운영하던 유튜브 채널 영상 또한 모두 삭제됐습니다.
5640,배우 박민영이 은둔의 재력가와 열애설에 휩싸인 가운데 소속사 측은 이미 결별한 상태라고 입장을 밝혔다.
5641,/더팩트 DB▼ 박민영 은둔 재력가와 열애설에 최근 이별 금전적 도움 NO배우 박민영이 열애설에 휩싸이며 곤혹을 치렀습니다.
5642,보도에 따르면 K 씨는 한남동 최고급 빌라에 살고 있으며 코스닥 코스피 상장사 회장입니다.
5643,또한 두 사람은 이미 양가 집안이 인정한 공식 커플이며 최근 박민영이 소속사를 이전하게 된 이유도 K 씨와 연관돼 있는 것으로 전해졌습니다.
5644,이에 소속사는 이날 현재 드라마 월수금화목토 촬영 중으로 사실관계 확인이 늦어지고 있다.
5645,보도에 따르면 박민영의 친언니가 등재된 회사는 K 씨가 실소유했다는 의혹을 받는 회사 중 하나이며 K 씨의 여동생이 회사 대주주이자 대표로 있습니다.
5646,이번 열애설을 둘러싸고 이 같은 보도가 이어지며 박민영은 큰 이미지 타격을 입었는데요.
5647,이에 관계자는 열애설 상대방으로부터 많은 금전적 제공을 받았다는 것은 결코 사실이 아니다.
5648,언니인 박 모씨도 인바이오젠에 사외이사 사임 의사를 전한 상태라고 해명했습니다.
5649,/더팩트 DB▼ 골든차일드 최보민 안면 골절 부상→수술 예정 활동 잠정 중단그룹 골든차일드 멤버 최보민이 안면 골절 부상을 당했습니다.
5650,소속사에 따르면 최보민은 곧바로 응급치료와 정밀 검사를 진행했고 안면 골절로 인한 수술이 불가피하다는 진단을 받았습니다.
5651,관계자는 최보민은 예정된 골든차일드 스케줄 참여도 어렵다며 현재 수술 일정을 조율 중이며 최보민은 수술 후에도 한동안 재활치료를 병행해야 하는 상황이라고 설명했습니다.
5652,이에 최보민은 당분간 활동을 중단하고 치료와 건강 회복에 집중할 계획입니다.
5653,갑작스러운 소식으로 많은 팬 여러분께 걱정을 끼쳐 죄송하다고 덧붙였습니다.
5654,사진제공 | 나무엑터스배우 박은빈과 박찬욱·황동혁 감독이 미국비평가협회(CCA)가 주관하는 행사에서 상을 받는다.
5655,CCA가 홈페이지에 공개한 아시아 태평양 시네마＆TV 창립 기념행사(APCT) 수상자 명단에 따르면 ENA드라마 ‘이상한 변호사 우영우’에서 활약한 박은빈이 라이징 스타상을 받는다.
5656,‘헤어질 결심’ 박찬욱 감독과 ‘오징어 게임’ 황동혁 감독은 각각 영화와 TV 부문서 감독상을 받는다.
5657,홍수아는 자신의 SNS를 통해 복식 파트너 김사랑 씨에 대한 고마움을 드러내기도 했다.
5658,한편 홍수아는 최근 SBS 골때리는 그녀들에서 불나방 팀의 뉴 멤버로 합류 데뷔전에서 데뷔골을 넣어 화제가 됐다.
5659,공개된 사진 속에는 스페셜 MC로 활약 중인 나는 솔로-사랑은 계속된다(이하 나솔사계) 녹화에 참여한 옥순의 모습이 담겨있다.
5660,옥순은 핑크빛 오프숄더 니트를 입고 연예인 못지 않은 화려한 비주얼을 자랑하고 있다.
5661,현재 SBS Plus ENA Play 나는 SOLO 그 후 사랑은 계속된다(나솔사계) 특별 MC로 활약 중이다.
5662,이어진 사진에선 커피 한 잔의 여유를 만끽하며 마치 광고 속 한 장면 같은 상황을 연출했다.
5663,이솔이 인스타그램헤럴드POP김나율기자개그맨 박성광의 아내 이솔이가 우아한 미모를 자랑했다.
5664,▲ 김구라 신현준 김원준(왼쪽부터) 출처| 스포티비뉴스DB스포티비뉴스정서희 기자 연예계에 늦둥이 아빠들이 늘어나고 있다.
5665,반백살에 금쪽같은 자식을 품에 안으며 새로운 행복을 맛본 스타들이 우르르 생겨났다.
5666,김구라는 개인 유튜브 채널을 통해 아이 계획이 없었는데 갑작스럽게 생겼다며 즐겁고 좋은 일이다.
5667,생일 축하해라는 글과 함께 인증 사진을 SNS에 게재해 훈훈함을 안기기도 했다.
5668,당시 신현준은 늦은 나이에도 저희에게 이렇게 찾아와준 아이들이 너무 고맙고 애틋하다.
5669,아이들을 위해 더욱 성숙한 아버지 자랑스러운 사람이 되도록 늘 노력하겠다고 소감을 전했다.
5670,아들만 둘이었던 그는 딸 육아에 푹 빠진 듯 딸의 매 순간을 카메라에 담았다.
5671,지누&amp;사라 주니어라는 글과 함께 아기의 모습이 담긴 영상을 공유했다.
5672,이후 지누는 SNS 프로필을 아들과 찍은 사진으로 변경하며 무한 애정을 드러내고 있다.
5673,김원준은 최근 방영된 TV조선 건강한 집에 출연해 둘째가 예동이(태명)이가 건강하게 태어났다며 예쁜 공주님이다.
5674,함께 공개된 사진에는 갓 태어난 딸을 바라보며 꿀이 뚝뚝 떨어지는 김원준의 모습이 담겼다.
5675,스케줄이 없는 날에는 휴식을 취하는가 하면 지인들을 초대해 술 파티를 벌이기도 했다.
5676,최근 자신의 유튜브 채널에 올란 브이로그 영상에서 제시카는 “중국에서 촬영하고 있다며 메이크업 룸을 공개하는가 하면 지인들과 술 마시는 일상을 카메라에 담아 팬들을 미소 짓게 했다.
5677,내 마음 속에 있는 것 내가 느끼는 것 내가 표현하고 싶은 것 기본적으로 팬들에게 하고 싶은 말들을이라며 자신의 다이어리를 조심스레 펼쳤다.
5678,하지만 반짝이들과 함께라면 무엇이든 할 수 있다며 팬들을 향한 무한 애정을 내비쳤다.
5679,팬들의 응원을 받으며 재데뷔에 성공한 제시카는 중국에서 행복한 나날을 보내고 있다.
5680,또한 자전적 소설 ‘샤인’과 ‘브라이트’를 출간했는데 “특정 멤버가 괴롭혔다는 내용을 담아 논란이 불거지기도 했다.
5681,해당 연예인은 방한해 관찰 예능을 촬영하며 자신의 블로그에도 한국여행담을 게시하는 것으로 알려졌다.
5682,특히 김호영은 자신의 입간판을 직접 들고 나와 “홍보하러 왔으면 홍보를 해야한다며 시선을 사로잡았다.
5683,또 김호영은 “실제 공연 때 신는 부츠라며 뮤지컬 ‘킹키부츠’의 상징인 파격적인 빨간 부츠를 착용한 채 등장해 감탄을 자아냈다.
5684,이어 김호영은 평소 절친한 사이인 붐에게 “얘가 방송을 성의 없이 하는 것 같다며 “예전에 라디오 할 땐 서서 진행하더니 어디 앉아있어 니가라고 돌직구를 던져 웃음을 더했다.
5685,김호영은 “놀토 분위기 다운되는 것은 다 붐 네 탓“이라고 일갈해 폭소를 유발하기도 했다.
5686,헤럴드POP배재련 기자 김이지 인스타김이지가 반가운 근황을 공개해 화제다.
5687,!ㅋㅋㅋㅋㅋㅋ#얼굴보호 #빵터져#희지니아님#ㅋㅋㅋㅋ이라는 글과 함께 근황을 담은 인증 사진을 게재했다.
5688,두 아이의 엄마가 된 김이지는 연예계를 떠난 이후에도 여전한 미모를 자랑 팬들을 감탄하게 만들었다.
5689,류이서 인스타그램헤럴드POP김지혜 인턴기자류이서가 본격 연예계 데뷔 후 물오른 미모를 자랑해 화제다.
5690,류이서는 녹색 계열의 블라우스에 긴 청치마를 매치 러블리한 패션을 선 보였다.
5691,사진에는 장성규가 선물 받은 고가의 차량 옆에서 미소를 지으며 포즈를 취하고 있는 모습이 담겨있어 눈길을 모은다.
5692,현재 SBS ‘꼬리에 꼬리를 무는 그날 이야기’ MBN ‘아바타싱어’ MBC라디오 ‘굿모닝FM 장성규입니다’의 진행자로 활약 중이다.
5693,저도 연예인이지만 진짜 연예인의 연예인을 보는 느낌이라고 너스레를 떨었다.
5694,서울뉴시스 김동현 기자 최근 유통 업계가 성덕 마케팅을 잇따라 선보이며 눈길을 끌고 있다.
5695,성덕은 성공한 덕후의 줄임말로 자신이 좋아해온 분야에서 성공한 사람을 일컫는다.
5696,이는 MZ세대(밀레니얼+Z세대)를 중심으로 무언가를 진심으로 좋아하고 몰입한다는 점에서 덕후를 긍정적으로 바라보는 문화가 형성됐기 때문이다.
5697,유통 업계는 오랜 시간 해당 제품을 좋아한 연예인을 모델로 발탁하는 방식으로 성덕 마케팅을 전개하고 있다.
5698,연예인들의 충성도를 더하며 소비자들에게 주목도를 높이는 것은 물론 진정성 있는 메시지 전달까지 가능하다는 설명이다.
5699,이와 함께 제품의 성덕으로 알려진 일반 소비자 대상 마케팅도 눈에 띄고 있다.
5700,제품에 대한 높은 충성도를 지닌 소비자들에게 특별한 혜택을 부여하며 충성도를 한층 강화하고 신규 소비자 층에게도 주목도를 높이고 있다.
5701,코카콜라사의 탄산음료 닥터페퍼는 최근 닥터페퍼 매니아로 알려진 가수 씨엘을 브랜드모델로 전격 발탁했다.
5702,모델 발탁이 공개된 직후에는 코카콜라 코리아 트위터 계정이 한동안 닥터페퍼 계정으로 임시 변경돼 소비자와 팬들의 즐거움까지 이끌어 냈다.
5703,이를 기념해 그가 직접 사용한 후 여름에 어울리는 제품으로 선정한 레드 수딩 AI 썬스크린과 DMT 워터 블라스트 젤 크림 한정판 에디션을 출시했다.
5704,LG생활건강은 거리낌 없이 적극적으로 자신을 드러내는 지코의 솔직한 매력이 피지오겔의 브랜드 철학과 잘 맞아 모델로 선정하게 됐다고 밝혔다.
5705,맥도날드의 크루로 함께했던 조나단에게 모델 발탁은 성덕 이상의 특별한 의미라는 반응이 나온다.
5706,찐팬들이 즐길 수 있는 오프라인 활동을 통해 소비자 접점을 강화하는 기업들도 늘어나고 있다.
5707,ThinQ 방탈출 카페는 LG 씽큐 앱의 주요 기능과 방탈출 게임 콘셉트를 접목해 마련한 복합문화체험공간이다.
5708,LG전자는 LG 씽큐 앱의 혁신 기능과 초연결 경험을 보다 재미있게 체험할 수 있도록 게임 요소를 접목했다.
5709,삼성전자는 최근 경기도 용인 에버랜드 장미원에서 갤럭시 팬파티 제각각 캠크닉을 진행했다.
5710,김유지 인스타그램헤럴드POP김나율기자배우 정준의 여자친구 김유지가 밝은 근황을 전했다.
5711,김유지는 긴 생머리를 늘어뜨리고 자연스러운 분위기로 수수한 매력을 보여준다.
5712,마이데일리 명희숙 기자 그룹 신화 전진의 아내이자 방송인 류이서가 근황을 공개했다.
5713,공개된 사진 속 류이서는 결혼기념일을 맞이해 전진과 데이트를 즐기는 모습을 담았다.
5714,선물 받은 하트 풍선을 손에 들고 다채로운 포즈를 취하며 러블리한 매력을 발산했다.
5715,민혜연 인스타그램헤럴드POP김나율기자배우 주진모의 아내 민혜연이 연예인급 미모를 자랑했다.
5716,민혜연은 의사 가운을 입고 머리를 묶어 프로페셔널한 모습을 보여주고 있다.
5717,당시 곽씨가 동승자와 함께 차로 이동하는 장면이 인근 CCTV에 고스란히 포착됐다.
5718,곽씨는 이 남성을 인근 주거지에 내려준 뒤 봉성리사무소 인근 교차로까지 차를 몰았다.
5719,경찰은 당시 차 안에서 자고 있던 곽씨를 깨워 음주 측정을 한 뒤 집으로 돌려보냈다.
