,sentence
34,스타링크 국내 영향은?위성을 이용해 전파 음영지역 없는 인터넷 서비스를 판매한다는 이상은 위성통신 사업자들의 공통된 목표일 것이다.
35,통신 효율과 속도를 개선하기 위해 저궤도 위성으로 관심이 집중되는 상황에서 머스크의 스타링크는 발사체 재활용이라는 독보적 기술을 십분 활용해 위성통신업계의 다른 사업자들을 단숨에 제쳤고 앞서 언급했듯 때마침(?)
36,일어난 글로벌 이벤트로 인지도를 폭발시키며 시장을 주도하는 사업자로 올라섰다.
37,일련의 극적 과정을 거친 스타링크는 전세계는 물론 우리나라의 테크 호사가들이 큰 관심을 가질 만한 소재임에는 분명하다.
38,전세계를 대상으로 네트워크 속도를 측정하는 앱을 운영하는 업체 Ookla가 조사한 스타링크의 속도를 보자.
39,가장 최근에 상용 서비스를 시작한 일본의 경우만 보더라도 국내의 잠재적 이용자가 스타링크 서비스에 큰 매력을 느끼기는 어려워 보인다.
40,웬만한 얼리 어답터가 아니라면 또 산간 도서 지역에 거주하는 사람이 아니라면 스타링크를 현실적인 인터넷 연결의 수단으로 선뜻 사용하지는 않을 것 같다.
41,머스크는 왜?인터넷 속도와 비용에 대한 민감도가 상대적으로 큰 그래서 조금은 신경질적으로 초고속 네트워크에 집착해 온 우리나라에서 스타링크가 기존 시장의 게임 체인저가 되기는 어렵다는 분석 스타링크 측도 당연히 알고 있을 것이다.
42,스타링크의 글로벌 인지도가 급상승하는 것에 비례해 글로벌 저궤도 위성 통신 시장에서 반 스타링크 연합을 구성해 적극적으로 대항하자는 타 사업자들의 합종연횡 움직임도 본격화하고 있다.
43,그리고 스페이스엑스의 그런 바람은 다시 머스크의 더욱 큰 그림의 일부이기도 하다.
44,스타링크 위성의 안테나가 언젠가는 지구 궤도 밖을 향할 것이라는 거창한 계획의 시작을 알린 것이었지만 인류의 화성 이주는 아직 손에 잡히지 않는 미래다.
45,적어도 화성에 지구의 인터넷을 연결해야 할 필요성이 생길 때까지 머스크는 돈을 벌어야 한다는 얘기다.
46,인터넷 속도와 비용에 대해서는 세계 어느 나라 사람들보다 예민한 우리에게 당장 스타링크가 그다지 큰 영향을 주지는 않겠지만 머스크의 스타링크 사업은 꾸준히 커버리지를 확대하고 한편으로 글로벌 이슈의 흐름에 훌쩍 올라타기도 여차하면 가차없이 뛰어 내리기도 하면서 계속 뉴스의 주목을 받을 것이다.
47,방탄소년단 진이 등장하자 멤버들은 “진정한 슈퍼스타가 왔다며 슈퍼스타 진의 일상에 호기심을 내비쳤다.
48,진은 “수식어가 슈퍼스타다…라고 말문을 열며 세계적인 팝 가수와의 일화부터 가슴이 벅차올랐던 빌보드 뮤직 어워드(BBMA) 수상의 추억 등 다른 곳에서 공개하지 않은 슈퍼스타 방탄소년단의 에피소드들을 거침없이 공개했다.
49,이에 멤버들은 “입담이 아주 좋다 “앞으로 방탄소년단은 무조건 진이다며 순식간에 진며들었다는 후문이다.
50,이와 함께 진은 “석진이 형 대신 내가 런닝맨에 들어오면 좋겠다는 포부를 밝혀 현장을 발칵 뒤집었다고.
51,리오넬 메시는 전 세계에서 가장 유명한 축구 선수 중 한 명으로 널리 알려져 있다.
52,리오넬 메시는 평소 휴식을 취할 때 게임을 통해 동료 친구 가족들과 소통할 만큼 게임은 내 일상에서 매우 중요한 부분을 차지한다면서 배틀그라운드 모바일의 열광적인 팬으로서 이번 파트너십을 맺게 된 것을 자랑스럽게 생각하며 앞으로도 전 세계 이용자들과 함께 게임을 즐기고 싶다고 소감을 밝혔다.
53,아침부터 익숙한 듯 과일과 야채 주방도구를 씻고 닦고 소독하고 차를 끓였다.
54,또 임주환은 “물을 살 땐 사치를 부린다며 물로 세계 일주 중인 기승전 건강 마인드로 웃음을 자아냈다.
55,임주환이 비트 물까지 언급하자 박나래는 수자원공사도 이렇게 물 얘기를 안 할 것 같다고 말해 폭소케 했다.
