,sentence
71,시골의 빈집을 재생한다는 공익적인 부분도 흥미롭다- 우리나라 시골에 빈집이 자꾸 늘어난다는 건 사회적으로도 중요한 이슈 중 하나다.
72,촬영하면서 들었던 얘기인데 시골에 빈집이 하나 생기면 언젠가는 그 옆집도 비게 된다고 하더라.
73,바로 이 시골 빈집을 세컨 하우스로 활용해서 진정한 휴식이 함께하는 공간으로 만드는 거다.
74,나아가 귀농이나 귀촌에 대한 경험도 해보고 더 거시적으로는 사라져 가는 시골 마을 공동체까지도 부활하게 되는 밑거름이 되면 좋겠다는 생각이다.
75,최수종-하희라 부부와는 전작 ’살림하는 남자들‘에서 호흡을 맞춘 바 있다.
76,또 함께하는 특별한 이유가 있나?- 최수종 씨는 국민 사랑꾼이자 애처가의 대명사 같은 분이다.
77,그러던 중에 두 분이 세컨 하우스에 대한 로망이 있으시다는 얘기를 들어 제안하게 됐다.
78,두 분의 바람이 ’세컨 하우스‘를 통해 이뤄지길 바라면서 시청자분들께서도 국민 잉꼬부부의 일상을 즐겁게 봐주시길 바란다.
79,주상욱-조재윤의 조합도 기대를 모은다- 두 분의 예능감을 알고 있던 차에 엄청난 찐친이신 것을 알게 됐다.
80,두 분이 요즘 여러 드라마를 통해서 왕성하게 활동하고 계신 만큼 또 다른 휴식이 필요하시지 않을까 싶다.
81,- 보통 시골 생활을 촬영하는 프로그램들이 펜션이나 실제 거주하시는 집을 빌리는 경우가 많은데 저희는 시골에서 오래도록 비어 있던 집을 직접 리모델링 하게 된다.
82,프로그램 초반부는 설계부터 건축 허가 등 빈집의 리모델링 그 자체에 대한 과정이 중점적으로 다뤄진다.
83,우여곡절 끝에 출연자분들이 깊숙하게 참여해 직접 부딪히는 모습을 보실 수 있다.
84,그리고 전원생활을 촬영하는 여러 프로그램이 출연자들의 관찰로 구성되는 경우가 많은데 저희는 일상뿐 아니라 그 집이 속한 마을 전체의 이야기라고 보시면 좋을 거 같다.
85,공동체가 함께 살아가는 모습을 출연자분들의 따뜻한 시선으로 전할 예정이다.
86,제작진의 입장에서 시골의 빈집을 선정하는 기준은 무엇이었나?- 새로운 집을 짓는 것이 아니라 비어 있는 집을 리모델링하는 것이기 때문에 우선 리모델링이 가능한 집이어야 한다.
87,그리고 방송을 위해서는 집을 둘러싼 마을에 많은 이야깃거리가 있으면 좋겠다고 생각했다.
88,연출의 방향이 궁금하다- 사실 집은 지어 놓는 게 끝이 아니라 그 뒤부터 끊임없이 관리해야 한다.
89,저희 프로그램은 세컨 하우스가 그 속에서 살아가는 사람들과 생명을 얻게 되는 과정이다.
90,텃밭을 가꾸어 직접 반찬을 만들어 먹거나 닭을 키우며 달걀을 얻고 근처 저수지나 바다에서 낚시로 얻는 재료로 한 끼 식사를 해결해 보기도 하는 등의 다양한 모습을 보실 수 있다.
91,바라만 보고 있어도 힐링이 되는 마을 전경을 보며 차 한 잔의 여유를 느끼는 진정한 휴식을 만날 수 있을 것 같다.
92,’세컨 하우스‘만의 관전 포인트를 짚어 준다면?- 직접 만들어보는 툇마루 또는 평상 화로 등을 활용하고 생활하는 모습을 만날 수 있다.
